,open,high,low,close,volume
2014-10-30,86.93,87.94,85.71,86.1,9171.0
2014-10-31,86.02,87.1,84.6,85.96,10415.0
2014-11-03,85.85,86.4,84.01,84.04,12478.0
2014-11-04,84.21,82.66,82.66,82.66,0.0
2014-11-05,82.78,84.45,81.63,83.17,15228.0
2014-11-06,83.1,84.45,81.63,82.83,11825.0
2014-11-07,82.67,83.86,82.05,83.0,10980.0
2014-11-10,83.26,81.88,81.88,81.88,0.0
2014-11-11,82.13,81.25,81.25,81.25,0.0
2014-11-12,82.0,83.01,80.5,80.67,13177.0
2014-11-13,80.72,82.4,77.29,77.73,18367.0
2014-11-14,77.67,81.01,76.76,79.6,15412.0
2014-11-17,0.0,79.05,79.05,79.05,0.0
2014-11-18,79.01,79.95,77.94,78.41,16004.0
2014-11-19,78.41,79.95,78.04,78.05,10225.0
2014-11-20,78.16,79.95,77.56,79.79,12041.0
2014-11-21,79.95,81.61,77.56,80.36,15441.0
2014-11-24,80.5,80.85,79.4,79.4,10691.0
2014-11-25,79.45,80.85,78.05,78.17,13515.0
2014-11-26,0.0,77.53,77.53,77.53,0.0
2014-11-27,77.4,77.53,71.25,72.82,22454.0
2014-11-28,72.58,77.46,69.78,70.02,19576.0
2014-12-01,70.15,73.02,67.53,72.79,23576.0
2014-12-02,72.51,73.03,67.53,71.04,17434.0
2014-12-03,70.95,70.03,70.03,70.03,0.0
2014-12-04,70.15,71.46,68.81,69.43,11218.0
2014-12-05,69.53,70.6,68.1,68.94,10391.0
2014-12-08,68.79,68.94,65.93,66.08,11326.0
2014-12-09,66.0,68.79,65.29,66.31,10903.0
2014-12-10,66.25,67.04,63.56,64.33,11878.0
2014-12-11,64.47,66.36,63.56,64.03,7498.0
2014-12-12,63.01,65.13,61.35,61.65,7174.0
2014-12-15,61.84,60.52,60.52,60.52,0.0
2014-12-16,60.87,59.8,59.8,59.8,0.0
2014-12-17,59.9,63.5,58.5,60.64,16711.0
2014-12-18,60.94,63.7,58.71,59.81,20654.0
2014-12-19,59.85,63.7,59.05,62.15,16245.0
2014-12-22,61.99,62.97,59.84,60.13,16679.0
2014-12-23,60.24,62.97,59.84,61.55,14719.0
