,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300169.XSHE,天晟新材,0.2337,12.0513,2.9518,24.4937,化工I,2011-01-25
300297.XSHE,蓝盾股份,3.8803,50.9493,12.4467,24.4296,计算机I,2012-03-15
300233.XSHE,金城医药,11.0827,42.845,10.3111,24.0661,医药生物I,2011-06-22
300091.XSHE,金通灵,1.436,25.958,6.204,23.9001,机械设备I,2010-06-25
300084.XSHE,海默科技,-1.786,18.5747,4.3972,23.6732,机械设备I,2010-05-20
300396.XSHE,迪瑞医疗,7.6292,16.8078,3.972,23.6316,医药生物I,2014-09-10
300247.XSHE,融捷健康,0.8876,15.8627,3.737,23.5586,家用电器I,2011-07-29
300496.XSHE,中科创达,6.7807,17.6526,4.1535,23.5291,计算机I,2015-12-10
300656.XSHE,民德电子,0.6288,4.7753,1.1131,23.3094,电子I,2017-05-19
300542.XSHE,新晨科技,0.3562,6.5758,1.5273,23.2258,计算机I,2016-09-20
300525.XSHE,博思软件,3.1092,11.2905,2.612,23.1348,计算机I,2016-07-26
300054.XSHE,鼎龙股份,3.6144,38.0208,8.7764,23.0832,化工I,2010-02-11
300227.XSHE,光韵达,3.2547,10.8991,2.5141,23.0674,电子I,2011-06-08
300301.XSHE,长方集团,0.7509,16.6995,3.8338,22.9574,电子I,2012-03-21
300213.XSHE,佳讯飞鸿,2.7798,20.3959,4.5177,22.15,通信I,2011-05-05
300347.XSHE,泰格医药,19.8991,49.9914,11.0071,22.0181,医药生物I,2012-08-17
300287.XSHE,飞利信,1.5656,38.5146,8.4737,22.0013,计算机I,2012-02-01
300263.XSHE,隆华科技,6.4032,29.5811,6.493,21.9498,公用事业I,2011-09-16
300027.XSHE,华谊兄弟,-28.5714,88.8621,19.4745,21.9154,传媒I,2009-10-30
300279.XSHE,和晶科技,0.3248,8.849,1.9002,21.474,电子I,2011-12-29
300011.XSHE,鼎汉技术,0.1214,19.3589,4.1348,21.3588,电气设备I,2009-10-30
300188.XSHE,美亚柏科,-3.7118,25.5164,5.422,21.2492,计算机I,2011-03-16
300486.XSHE,东杰智能,2.2607,13.6071,2.8883,21.2266,机械设备I,2015-06-30
300307.XSHE,慈星股份,-2.0774,41.1293,8.4711,20.5962,机械设备I,2012-03-29
300738.XSHE,奥飞数据,1.7265,6.6208,1.3571,20.4971,计算机I,2018-01-19
300477.XSHE,合纵科技,1.2733,19.7837,4.0539,20.4912,电气设备I,2015-06-10
300047.XSHE,天源迪科,5.2726,32.1497,6.54,20.3423,计算机I,2010-01-20
300587.XSHE,天铁股份,2.1566,11.2102,2.2576,20.1389,化工I,2017-01-05
300009.XSHE,安科生物,10.971,28.4993,5.6316,19.7604,医药生物I,2009-10-30
300178.XSHE,腾邦国际,-13.8578,30.4345,6.0002,19.715,休闲服务I,2011-02-15
300162.XSHE,雷曼光电,2.3671,9.6884,1.9027,19.6392,电子I,2011-01-13
